id,school,professor,course,rating,review
71,강대,김은애,세계도시여행과문학,3,무난.. 해요 그리고 시험은 음 ..... 그냥 그래요 학점따기 어려워요 ㅎㅎ 들어보시면 아실듯
72,강대,김현정,AcademicEnglishII(intro),5,사랑해요 교수님 ♥️ 이 교수님 수업은 항상 행복해요
73,강대,이윤경,자기관리와진로탐색,3,1학점에 비해 할 게 많아요.그래도 어느정도 도움돼요!
74,강대,심정연,미래기술과인공지능,3,"쉬는 시간도 길게 주고, 과제도 간단해요!!"
75,강대,MILLERJEFFERYJOHN,AcademicEnglishII(upperintermediate),5,진짜 개좋아요 비욘세가 한국인이라는거 듣고 개빵터잠
76,강대,이진영,컴퓨터프로그래밍,1,진짜 듣다보면 정신건강 안좋아져요 듣지마세요 진짜
77,강대,박혁서,부동산마케팅론,5,"이 강의는 직접 다들어보는게 마케팅에 입문하기 좋고, 사례를 들어서 강의하심. 일단 레포트는 조별이엇고 참여시 가급적 점수를 주심. 대체적으로 사고치지 않으면 만점. 출결 10분 내에는 거의 지각없이 찍어주심. 정시에 찍고 반복해서 찍은후 안온사람은 호명후 그후 왓다면 지각취급. 운이 좋다면 지각을 해도 티없이 깨끗한 출결이 가능. 이수업은 총 2회로 나뉘어잇어서 지각은 민감할거같고.시험은 목차위주로 공부하면서 하는것을 추천 시험 범위가 넓고 어디서 머가나올지 모름 . 전공자들은 잘들어보시길. 은근히 도움되는 강의일수도잇음. 레포트는 이번학기는 대기업의 거시적환경분석이엇음."
78,강대,이여봉,여성과리더십,5,한번쯤 들어야되는 강의입니다! 꼭 들어보세요!!
79,강대,이여봉,여성과리더십,4,너무 ㅣ 좋아요~~~ 듣기편한 수업!!꼭 들으세여ㅁㅁㅎㅎㅎ
80,강대,김수완,사회복지개론,5,이번학기때 졸업하는 14학번 화석입니다.14년도 입학하고 첫번째 대학수업이었습니다.당시엔 대학들어왔다는 기쁨에 결석도 자주하고 놀았는데 지나고 보니 사회복지가 내 적성에 맞는지 사회복지가 무엇인지 알게해주는 쉽게말해서 대학4년간의 길잡이 역할을 해주는 강의라고 느껴집니다.꼰대의 넉두리로 들릴지도 모르지만 새내기분들 개론만큼은 꼭 집중에서 들어주셨으면 좋겠습니다.
